Count,Date,BTC / USDT price,Token name,24h price change %,Trade,Trade price,Comission,Profit %,Profit total %
1,20-01-2023 16:25:23,21194.12,RAY,-2.69,BUY,0.2243,0.0022,-0.01,-0.01
2,20-01-2023 16:28:28,21215,,-2.725,,,0,0,-0.01
3,20-01-2023 16:31:34,21236.42,,-2.295,,,0,0,-0.01
4,20-01-2023 16:34:39,21231.74,,-2.375,,,0,0,-0.01
5,20-01-2023 16:37:44,21282.88,,-2.031,,,0,0,-0.01
6,20-01-2023 16:40:49,21279.64,,-1.987,,,0,0,-0.01
7,20-01-2023 16:43:56,21295.99,,-2.53,,,0,0,-0.01
8,20-01-2023 16:47:07,21306.69,RAY,-3.864,SELL,0.2264,0.0023,0.9262,0.9162
9,20-01-2023 16:50:14,21347.22,,0,,,0,0,0.9162
10,20-01-2023 16:53:19,21388,,0,,,0,0,0.9162
11,20-01-2023 16:56:27,21353.95,BEAM,-3.953,BUY,0.0826,0.0008,-0.01,0.9062
12,20-01-2023 16:59:34,21300.8,,-3.384,,,0,0,0.9062
13,20-01-2023 17:02:40,21341.76,,-3.376,,,0,0,0.9062
14,20-01-2023 17:05:45,21381.95,,-3.472,,,0,0,0.9062
15,20-01-2023 17:08:52,21387.42,,-3.908,,,0,0,0.9062
16,20-01-2023 17:11:58,21389.43,BEAM,-4.724,SELL,0.0827,0.0008,0.1111,1.0173
17,20-01-2023 17:15:04,21356.22,DATA,-3.116,BUY,0.037,0.0004,-0.01,1.0073
18,20-01-2023 17:18:09,21390.38,,-1.611,,,0,0,1.0073
19,20-01-2023 17:21:13,21382.7,,-0.902,,,0,0,1.0073
20,20-01-2023 17:24:17,21364.18,,-1.243,,,0,0,1.0073
21,20-01-2023 17:27:23,21350.16,,-2.301,,,0,0,1.0073
22,20-01-2023 17:30:30,21340.9,DATA,-3.466,SELL,0.0373,0.0004,0.8549,1.8622
23,20-01-2023 17:33:34,21344.7,,0,,,0,0,1.8622
24,20-01-2023 17:36:39,21313,KAVA,-1.91,BUY,1.027,0.0103,-0.01,1.8522
25,20-01-2023 17:39:46,21319.62,,-1.342,,,0,0,1.8522
26,20-01-2023 17:42:53,21357.89,KAVA,-1.344,SELL,1.028,0.0103,0.0874,1.9395
27,20-01-2023 17:46:04,21343.29,MDT,-1.809,BUY,0.0261,0.0003,-0.01,1.9295
28,20-01-2023 17:49:20,21322.16,,-0.077,,,0,0,1.9295
29,20-01-2023 17:52:29,21362.37,,0.384,,,0,0,1.9295
30,20-01-2023 17:55:36,21381.08,,0.269,,,0,0,1.9295
31,20-01-2023 17:58:46,21365.23,MDT,-1.361,SELL,0.0261,0.0003,0.1436,2.0731
32,20-01-2023 18:01:50,21391.67,,0,,,0,0,2.0731
33,20-01-2023 18:04:57,21388.21,GHST,-1.466,BUY,1.008,0.0101,-0.01,2.0631
34,20-01-2023 18:08:02,21352.3,,-1.466,,,0,0,2.0631
35,20-01-2023 18:11:09,21333.72,,-1.465,,,0,0,2.0631
36,20-01-2023 18:14:14,21375.5,GHST,-1.562,SELL,1.008,0.0101,-0.01,2.0531
37,20-01-2023 18:17:20,21402.46,,0,,,0,0,2.0531
38,20-01-2023 18:20:29,21332.06,DEXE,-12.341,BUY,2.55,0.0255,-0.01,2.0431
39,20-01-2023 18:23:36,21319.29,,-11.795,,,0,0,2.0431
40,20-01-2023 18:26:43,21335.13,,-9.419,,,0,0,2.0431
