Count,Date,BTC / USDT price,Token name,24h price change %,Trade,Trade price,Comission,Profit %,Profit total %,Market average
1,2023-05-07T05:12:09.746Z,28842.01,BTC,-1.794,BUY,28842.02,0,0,0,135.6587
2,2023-05-07T05:18:15.589Z,28833.09,BTC,-1.835,SELL,28833.09,0,-0.031,-0.031,135.639
3,2023-05-07T05:24:24.292Z,28825.85,BTC,-1.876,BUY,28825.85,0,0,-0.031,136.0339
4,2023-05-07T05:30:30.917Z,28845.1,BTC,-1.798,SELL,28842.36,0,0.0573,0.0263,136.0637
5,2023-05-07T05:36:38.313Z,28869.69,BTC,-1.699,BUY,28869.7,0,0,0.0263,136.1031
6,2023-05-07T05:42:46.398Z,28881.25,BTC,-1.583,SELL,28881.25,0,0.04,0.0663,136.1468
7,2023-05-07T05:48:55.694Z,28888.67,BTC,-1.592,BUY,28888.67,0,0,0.0663,136.1252
8,2023-05-07T05:55:04.623Z,28871.01,BTC,-1.653,SELL,28871.02,0,-0.0611,0.0052,136.0831
9,2023-05-07T06:01:13.728Z,28897.88,BTC,-1.559,BUY,28897.87,0,0,0.0052,136.1068
10,2023-05-07T06:07:21.155Z,28885.84,BTC,-1.508,SELL,28882.83,0,-0.052,-0.0468,135.9454
11,2023-05-07T06:13:31.427Z,28887.93,BTC,-1.627,BUY,28887.94,0,0,-0.0468,135.9229
12,2023-05-07T06:19:39.399Z,28912.59,BTC,-1.612,SELL,28912.59,0,0.0853,0.0385,136.0914
13,2023-05-07T06:25:48.240Z,28935.99,BTC,-1.375,BUY,28935.99,0,0,0.0385,136.4626
14,2023-05-07T06:31:55.717Z,28869.41,BTC,-1.626,SELL,28869.41,0,-0.2301,-0.1916,136.0029
15,2023-05-07T06:38:03.061Z,28895.62,BTC,-1.43,BUY,28895.63,0,0,-0.1916,136.0307
16,2023-05-07T06:44:10.536Z,28907.97,BTC,-1.468,SELL,28907.98,0,0.0427,-0.1488,136.0707
17,2023-05-07T06:50:19.701Z,28927.79,BTC,-1.5,BUY,28927.79,0,0,-0.1488,136.2529
18,2023-05-07T06:56:26.341Z,28930.19,BTC,-1.53,SELL,28930,0,0.0076,-0.1412,136.2621
19,2023-05-07T07:02:33.517Z,28912.1,BTC,-1.567,BUY,28912.1,0,0,-0.1412,136.2468
20,2023-05-07T07:08:39.882Z,28913.87,BTC,-1.6,SELL,28912.71,0,0.0021,-0.1391,136.2092
21,2023-05-07T07:14:47.994Z,28923.16,BTC,-1.582,BUY,28923.16,0,0,-0.1391,136.2088
22,2023-05-07T07:20:55.044Z,28914.01,BTC,-1.586,SELL,28914.02,0,-0.0316,-0.1707,136.4918
23,2023-05-07T07:27:03.680Z,28915.18,BTC,-1.637,BUY,28915.19,0,0,-0.1707,136.5127
24,2023-05-07T07:33:10.870Z,28906.88,BTC,-1.691,SELL,28906.88,0,-0.0287,-0.1994,136.5102
25,2023-05-07T07:39:20.177Z,28924.12,BTC,-1.599,BUY,28924.12,0,0,-0.1994,136.5573
26,2023-05-07T07:45:26.680Z,28919.16,BTC,-1.595,SELL,28919.16,0,-0.0171,-0.2166,136.5804
27,2023-05-07T07:51:33.584Z,28920.86,BTC,-1.537,BUY,28920.8,0,0,-0.2166,136.5853
28,2023-05-07T07:57:40.305Z,28913.12,BTC,-1.575,SELL,28913.13,0,-0.0265,-0.2431,136.5802
29,2023-05-07T08:03:50.329Z,28942.53,BTC,-1.093,BUY,28940.28,0,0,-0.2431,136.6352
30,2023-05-07T08:09:56.386Z,28945.33,BTC,-1.042,SELL,28945.34,0,0.0175,-0.2256,136.295
31,2023-05-07T08:16:06.185Z,28937.88,BTC,-1.019,BUY,28937.88,0,0,-0.2256,136.6576
32,2023-05-07T08:22:14.075Z,28935.92,BTC,-1.225,SELL,28935.92,0,-0.0068,-0.2324,136.3129
33,2023-05-07T08:28:23.589Z,28932.01,BTC,-1.263,BUY,28932.01,0,0,-0.2324,136.2928
34,2023-05-07T08:34:31.964Z,28872.02,BTC,-1.488,SELL,28872.02,0,-0.2073,-0.4397,136.1922
35,2023-05-07T08:40:40.465Z,28869.36,BTC,-1.602,BUY,28869.36,0,0,-0.4397,136.1639
36,2023-05-07T08:46:46.989Z,28865.29,BTC,-1.606,SELL,28865.29,0,-0.0141,-0.4538,135.8387
37,2023-05-07T08:52:55.899Z,28863.66,BTC,-1.597,BUY,28863.66,0,0,-0.4538,135.8477
38,2023-05-07T08:59:02.432Z,28870.19,BTC,-1.628,SELL,28870.18,0,0.0226,-0.4313,136.0477
39,2023-05-07T09:05:10.862Z,28847.9,BTC,-1.693,BUY,28847.9,0,0,-0.4313,136.0768
40,2023-05-07T09:11:17.811Z,28818.31,BTC,-1.676,SELL,28820.41,0,-0.0953,-0.5265,136.1104
41,2023-05-07T09:17:25.802Z,28787.26,BTC,-1.716,BUY,28787.27,0,0,-0.5265,135.9588
42,2023-05-07T09:23:33.167Z,28760.32,BTC,-1.772,SELL,28766,0,-0.0739,-0.6004,135.9875
43,2023-05-07T09:29:41.281Z,28850.77,BTC,-1.544,BUY,28850.02,0,0,-0.6004,136.47
44,2023-05-07T09:35:47.818Z,28873.31,BTC,-1.432,SELL,28873.31,0,0.0807,-0.5197,136.486
45,2023-05-07T09:41:54.962Z,28830.75,BTC,-1.634,BUY,28830.75,0,0,-0.5197,136.4254
46,2023-05-07T09:48:01.506Z,28802.8,BTC,-1.753,SELL,28802.79,0,-0.097,-0.6167,135.8805
47,2023-05-07T09:54:11.992Z,28821.33,BTC,-1.704,BUY,28821.34,0,0,-0.6167,135.8476
48,2023-05-07T10:00:18.875Z,28819.58,BTC,-1.589,SELL,28819.54,0,-0.0062,-0.6229,135.8595
49,2023-05-07T10:06:27.720Z,28807.92,BTC,-1.622,BUY,28807.92,0,0,-0.6229,135.8462
50,2023-05-07T10:12:34.520Z,28806.71,BTC,-1.629,SELL,28806.62,0,-0.0045,-0.6274,135.836
51,2023-05-07T10:18:42.576Z,28822.42,BTC,-1.53,BUY,28822.42,0,0,-0.6274,136.2864
52,2023-05-07T10:24:51.109Z,28823.81,BTC,-1.427,SELL,28823.81,0,0.0048,-0.6226,136.2808
53,2023-05-07T10:31:00.825Z,28832.72,BTC,-1.299,BUY,28832.72,0,0,-0.6226,136.2884
