Count,Date,BTC / USDT price,Token name,24h price change %,Trade,Trade price,Comission,Profit %,Profit total %
1,20-01-2023 16:25:21,21194.56,RAY,-2.644,BUY,0.2246,0.0022,-0.01,-0.01
2,20-01-2023 16:28:27,21218.99,,-2.725,,,0,0,-0.01
3,20-01-2023 16:31:34,21236.06,,-2.041,,,0,0,-0.01
4,20-01-2023 16:34:41,21231.26,,-2.375,,,0,0,-0.01
5,20-01-2023 16:37:46,21286.84,,-2.031,,,0,0,-0.01
6,20-01-2023 16:40:54,21279.92,,-1.987,,,0,0,-0.01
7,20-01-2023 16:44:02,21298.97,,-2.697,,,0,0,-0.01
8,20-01-2023 16:47:10,21306.58,RAY,-3.941,SELL,0.2267,0.0023,0.925,0.915
9,20-01-2023 16:50:15,21345.25,,0,,,0,0,0.915
10,20-01-2023 16:53:21,21384.83,,0,,,0,0,0.915
11,20-01-2023 16:56:29,21355.25,BEAM,-4.065,BUY,0.0826,0.0008,-0.01,0.905
12,20-01-2023 16:59:35,21302.26,,-3.384,,,0,0,0.905
13,20-01-2023 17:02:41,21343.64,,-3.376,,,0,0,0.905
14,20-01-2023 17:05:49,21384.41,,-3.36,,,0,0,0.905
15,20-01-2023 17:08:56,21388.11,,-3.908,,,0,0,0.905
16,20-01-2023 17:12:02,21393.43,BEAM,-4.724,SELL,0.0827,0.0008,0.1111,1.0161
17,20-01-2023 17:15:09,21357.3,DATA,-3.116,BUY,0.037,0.0004,-0.01,1.0061
18,20-01-2023 17:18:15,21392.13,,-1.611,,,0,0,1.0061
19,20-01-2023 17:21:19,21373.28,,-0.902,,,0,0,1.0061
20,20-01-2023 17:24:27,21366.75,,-1.243,,,0,0,1.0061
21,20-01-2023 17:27:33,21361.34,,-2.301,,,0,0,1.0061
22,20-01-2023 17:30:37,21333.09,DATA,-3.546,SELL,0.0373,0.0004,0.6927,1.6988
23,20-01-2023 17:33:44,21347.96,,0,,,0,0,1.6988
24,20-01-2023 17:36:52,21313.81,KMD,-1.908,BUY,0.2365,0.0024,-0.01,1.6888
25,20-01-2023 17:39:58,21323.82,KMD,-1.992,SELL,0.2362,0.0024,-0.1368,1.5519
26,20-01-2023 17:43:05,21361.56,,0,,,0,0,1.5519
27,20-01-2023 17:46:11,21341.54,MDT,-1.809,BUY,0.0261,0.0003,-0.01,1.5419
28,20-01-2023 17:49:17,21323.35,,-0.077,,,0,0,1.5419
29,20-01-2023 17:52:22,21359.17,,0.384,,,0,0,1.5419
30,20-01-2023 17:55:30,21374.83,,0.539,,,0,0,1.5419
31,20-01-2023 17:58:36,21363.27,MDT,-1.361,SELL,0.0261,0.0003,0.1436,1.6855
32,20-01-2023 18:01:42,21390.82,,0,,,0,0,1.6855
33,20-01-2023 18:04:49,21394.25,,0,,,0,0,1.6855
34,20-01-2023 18:07:54,21354.45,KAVA,-1.816,BUY,1.027,0.0103,-0.01,1.6755
35,20-01-2023 18:11:00,21336.17,KAVA,-1.727,SELL,1.024,0.0102,-0.3021,1.3734
36,20-01-2023 18:14:06,21365.35,,0,,,0,0,1.3734
37,20-01-2023 18:17:10,21409.56,,0,,,0,0,1.3734
38,20-01-2023 18:20:18,21323.3,DEXE,-11.761,BUY,2.551,0.0255,-0.01,1.3634
39,20-01-2023 18:23:23,21322.27,DEXE,-11.397,SELL,2.55,0.0255,-0.0492,1.3142
40,20-01-2023 18:26:29,21327.47,,0,,,0,0,1.3142
41,20-01-2023 18:29:36,21324.93,GHST,-1.665,BUY,1.004,0.01,-0.01,1.3042
42,20-01-2023 18:32:43,21336.59,,-1.665,,,0,0,1.3042
43,20-01-2023 18:35:51,21348.48,,-1.953,,,0,0,1.3042
44,20-01-2023 18:38:58,21371.53,,-1.855,,,0,0,1.3042
45,20-01-2023 18:42:03,21373.17,,-1.951,,,0,0,1.3042
46,20-01-2023 18:45:08,21385.78,GHST,-1.761,SELL,1.004,0.01,-0.01,1.2942
47,20-01-2023 18:48:16,21380.84,FLUX,-0.613,BUY,0.649,0.0065,-0.01,1.2842
48,20-01-2023 18:51:24,21384.23,,-0.913,,,0,0,1.2842
49,20-01-2023 18:54:31,21379.22,FLUX,-4.271,SELL,0.65,0.0065,0.1441,1.4282
50,20-01-2023 18:57:38,21375.8,BUSD,-0.01,BUY,1,0.01,-0.01,1.4182
51,20-01-2023 19:00:45,21388.18,BUSD,-0.01,SELL,0.9999,0.01,-0.02,1.3982
52,20-01-2023 19:03:49,21366.9,CTK,-0.809,BUY,0.736,0.0074,-0.01,1.3882
53,20-01-2023 19:06:55,21395.43,,-0.406,,,0,0,1.3882
