Count,Date,BTC / USDT price,Token name,24h price change %,Trade,Trade price,Comission,Profit %,Profit total %
1,20-01-2023 16:25:24,21194.56,ATM,32.911,BUY,4.2,0.042,-0.01,-0.01
2,20-01-2023 16:28:29,21216.11,ATM,31.546,SELL,4.17,0.0417,-0.7243,-0.7343
3,20-01-2023 16:31:34,21237.57,,0,,,0,0,-0.7343
4,20-01-2023 16:34:41,21232.17,MOB,20.457,BUY,1.16,0.0116,-0.01,-0.7443
5,20-01-2023 16:37:46,21284.58,MOB,18.117,SELL,1.154,0.0115,-0.5272,-1.2715
6,20-01-2023 16:40:54,21279.92,MAGIC,20.673,BUY,0.8499,0.0085,-0.01,-1.2815
7,20-01-2023 16:44:02,21300.99,,20.753,,,0,0,-1.2815
8,20-01-2023 16:47:09,21303.53,MAGIC,19.692,SELL,0.8461,0.0085,-0.4571,-1.7386
9,20-01-2023 16:50:17,21345.99,,0,,,0,0,-1.7386
10,20-01-2023 16:53:24,21389.64,,0,,,0,0,-1.7386
11,20-01-2023 16:56:30,21352.06,HOOK,21.686,BUY,1.9039,0.019,-0.01,-1.7486
12,20-01-2023 16:59:34,21303.71,,22.512,,,0,0,-1.7486
13,20-01-2023 17:02:41,21340.85,HOOK,20.717,SELL,1.8844,0.0188,-1.0342,-2.7829
14,20-01-2023 17:05:47,21385,,0,,,0,0,-2.7829
15,20-01-2023 17:08:53,21389.58,,0,,,0,0,-2.7829
16,20-01-2023 17:11:57,21390.13,,0,,,0,0,-2.7829
17,20-01-2023 17:15:03,21356.92,APT,17.317,BUY,9.0332,0.0903,-0.01,-2.7929
18,20-01-2023 17:18:10,21393.82,,17.768,,,0,0,-2.7929
19,20-01-2023 17:21:14,21380.63,,18.143,,,0,0,-2.7929
20,20-01-2023 17:24:21,21370.02,,18.499,,,0,0,-2.7929
21,20-01-2023 17:27:27,21359.14,,18.875,,,0,0,-2.7929
22,20-01-2023 17:30:32,21338.01,APT,18.83,SELL,9.1434,0.0914,1.2099,-1.5829
23,20-01-2023 17:33:38,21344,,0,,,0,0,-1.5829
24,20-01-2023 17:36:42,21309.05,HFT,15.992,BUY,0.3641,0.0036,-0.01,-1.5929
25,20-01-2023 17:39:50,21319.18,,16.13,,,0,0,-1.5929
26,20-01-2023 17:42:57,21361.04,,17.161,,,0,0,-1.5929
27,20-01-2023 17:46:03,21343.32,,17.816,,,0,0,-1.5929
28,20-01-2023 17:49:08,21324.26,,19.087,,,0,0,-1.5929
29,20-01-2023 17:52:14,21357.02,HFT,19.188,SELL,0.3727,0.0037,2.352,0.7591
30,20-01-2023 17:55:21,21368.31,,0,,,0,0,0.7591
31,20-01-2023 17:58:28,21370.32,,0,,,0,0,0.7591
32,20-01-2023 18:01:33,21387.32,,0,,,0,0,0.7591
33,20-01-2023 18:04:39,21394.14,,0,,,0,0,0.7591
34,20-01-2023 18:07:45,21363.54,HBAR,17.77,BUY,0.0676,0.0007,-0.01,0.7491
35,20-01-2023 18:10:52,21339.51,,20.419,,,0,0,0.7491
36,20-01-2023 18:13:57,21361.95,,20.383,,,0,0,0.7491
37,20-01-2023 18:17:05,21413.77,,20.383,,,0,0,0.7491
38,20-01-2023 18:20:11,21319.48,,20.348,,,0,0,0.7491
39,20-01-2023 18:23:16,21321.57,HBAR,19.618,SELL,0.0689,0.0007,1.9131,2.6622
40,20-01-2023 18:26:21,21319.87,RPL,15.297,BUY,36.48,0.3648,-0.01,2.6522
41,20-01-2023 18:29:28,21327.73,RPL,15.152,SELL,36.25,0.3625,-0.6405,2.0117
42,20-01-2023 18:32:33,21340.52,,0,,,0,0,2.0117
43,20-01-2023 18:35:39,21345.65,,0,,,0,0,2.0117
44,20-01-2023 18:38:44,21367.82,,0,,,0,0,2.0117
45,20-01-2023 18:41:51,21375.26,,0,,,0,0,2.0117
46,20-01-2023 18:44:58,21385.92,,0,,,0,0,2.0117
47,20-01-2023 18:48:07,21378.73,ATM,27.044,BUY,4.04,0.0404,-0.01,2.0017
48,20-01-2023 18:51:12,21392.54,,27.358,,,0,0,2.0017
49,20-01-2023 18:54:20,21389.7,,26.959,,,0,0,2.0017
50,20-01-2023 18:57:24,21375.86,ATM,26.73,SELL,4.03,0.0403,-0.2575,1.7442
51,20-01-2023 19:00:31,21388.65,,0,,,0,0,1.7442
52,20-01-2023 19:03:36,21365.32,RNDR,15.704,BUY,0.641,0.0064,-0.01,1.7342
53,20-01-2023 19:06:43,21391.67,RNDR,14.775,SELL,0.637,0.0064,-0.634,1.1001
54,20-01-2023 19:09:50,21383.35,MAGIC,13.975,BUY,0.8237,0.0082,-0.01,1.0901
55,20-01-2023 19:12:56,21392.26,MAGIC,13.351,SELL,0.8227,0.0082,-0.1314,0.9587
56,20-01-2023 19:16:03,21387.81,HOOK,21.204,BUY,1.9086,0.0191,-0.01,0.9487
57,20-01-2023 19:19:09,21365.37,,21.558,,,0,0,0.9487
58,20-01-2023 19:22:15,21378.3,,21.901,,,0,0,0.9487
59,20-01-2023 19:25:20,21398.68,,22.712,,,0,0,0.9487
60,20-01-2023 19:28:28,21384.7,,23.668,,,0,0,0.9487
61,20-01-2023 19:31:35,21374,HOOK,23.574,SELL,1.9437,0.0194,1.829,2.7778
62,20-01-2023 19:34:40,21374.46,,0,,,0,0,2.7778
63,20-01-2023 19:37:47,21395.01,,0,,,0,0,2.7778
64,20-01-2023 19:40:54,21405.92,,0,,,0,0,2.7778
65,20-01-2023 19:44:00,21416.24,,0,,,0,0,2.7778
66,20-01-2023 19:47:07,21381.39,APT,20.413,BUY,9.4103,0.0941,-0.01,2.7678
67,20-01-2023 19:50:13,21421.04,,20.877,,,0,0,2.7678
68,20-01-2023 19:53:18,21449.41,,20.818,,,0,0,2.7678
69,20-01-2023 19:56:24,21474.46,APT,20.731,SELL,9.4208,0.0942,0.1016,2.8693
70,20-01-2023 19:59:30,21488.63,,0,,,0,0,2.8693
71,20-01-2023 20:02:36,21579.54,,0,,,0,0,2.8693
72,20-01-2023 20:05:43,21877.27,,0,,,0,0,2.8693
73,20-01-2023 20:08:47,21888.54,,0,,,0,0,2.8693
74,20-01-2023 20:11:53,21889.13,,0,,,0,0,2.8693
75,20-01-2023 20:14:59,21840.56,OP,14.559,BUY,1.975,0.0198,-0.01,2.8593
76,20-01-2023 20:18:06,21868.69,OP,14.568,SELL,1.974,0.0197,-0.0606,2.7987
77,20-01-2023 20:21:11,21891.5,,0,,,0,0,2.7987
78,20-01-2023 20:24:18,21887.26,HBAR,32.069,BUY,0.0766,0.0008,-0.01,2.7887
79,20-01-2023 20:27:24,21846.21,,34.94,,,0,0,2.7887
80,20-01-2023 20:30:30,21870.98,,35.69,,,0,0,2.7887
81,20-01-2023 20:33:35,21875.59,HBAR,35.406,SELL,0.0784,0.0008,2.3399,5.1286
82,20-01-2023 20:36:41,21952.14,,0,,,0,0,5.1286
83,20-01-2023 20:39:45,22132.77,,0,,,0,0,5.1286
84,20-01-2023 20:42:53,22130.16,SNX,17.329,BUY,2.688,0.0269,-0.01,5.1186
85,20-01-2023 20:45:59,22088.38,SNX,16.277,SELL,2.686,0.0269,-0.0844,5.0342
86,20-01-2023 20:49:06,22159.35,,0,,,0,0,5.0342
87,20-01-2023 20:52:12,22162.2,,0,,,0,0,5.0342
88,20-01-2023 20:55:19,22239,,0,,,0,0,5.0342
89,20-01-2023 20:58:27,22195.42,ATM,21.384,BUY,3.86,0.0386,-0.01,5.0242
90,20-01-2023 21:01:31,22260.91,ATM,20.755,SELL,3.84,0.0384,-0.5281,4.496
91,20-01-2023 21:04:36,22294.91,,0,,,0,0,4.496
92,20-01-2023 21:07:42,22335.45,,0,,,0,0,4.496
93,20-01-2023 21:10:50,22315.82,SKL,21.28,BUY,0.0332,0.0003,-0.01,4.486
94,20-01-2023 21:13:56,22264.12,SKL,20.337,SELL,0.0328,0.0003,-1.0049,3.4812
95,20-01-2023 21:17:02,22296.03,,0,,,0,0,3.4812
96,20-01-2023 21:20:11,22260.18,PNT,26.903,BUY,0.1901,0.0019,-0.01,3.4712
97,20-01-2023 21:23:16,22275.88,PNT,25,SELL,0.1875,0.0019,-1.3777,2.0935
98,20-01-2023 21:26:21,22245.98,HOOK,22.011,BUY,1.9412,0.0194,-0.01,2.0835
99,20-01-2023 21:29:27,22265.78,,22.145,,,0,0,2.0835
100,20-01-2023 21:32:34,22274.1,HOOK,21.975,SELL,1.9366,0.0194,-0.247,1.8365
101,20-01-2023 21:35:40,22302.94,,0,,,0,0,1.8365
102,20-01-2023 21:38:45,22312.31,,0,,,0,0,1.8365
103,20-01-2023 21:41:53,22287.34,APT,24.459,BUY,9.7847,0.0978,-0.01,1.8265
104,20-01-2023 21:45:00,22328.31,,25.319,,,0,0,1.8265
105,20-01-2023 21:48:05,22297.02,APT,24.868,SELL,9.8209,0.0982,0.36,2.1865
106,20-01-2023 21:51:12,22305.57,,0,,,0,0,2.1865
107,20-01-2023 21:54:18,22325.1,,0,,,0,0,2.1865
108,20-01-2023 21:57:24,22354.14,,0,,,0,0,2.1865
109,20-01-2023 22:00:31,22334.78,RNDR,31.103,BUY,0.725,0.0072,-0.01,2.1765
110,20-01-2023 22:03:37,22335.54,,31.408,,,0,0,2.1765
111,20-01-2023 22:06:44,22358.95,RNDR,28.468,SELL,0.713,0.0071,-1.6652,0.5113
112,20-01-2023 22:09:50,22377.25,,0,,,0,0,0.5113
113,20-01-2023 22:12:58,22413.1,,0,,,0,0,0.5113
114,20-01-2023 22:16:04,22411.72,HBAR,27.993,BUY,0.0759,0.0008,-0.01,0.5013
115,20-01-2023 22:19:10,22471.24,,28.067,,,0,0,0.5013
116,20-01-2023 22:22:15,22605.96,HBAR,26.51,SELL,0.0754,0.0008,-0.6688,-0.1675
117,20-01-2023 22:25:20,22616.92,,0,,,0,0,-0.1675
118,20-01-2023 22:28:25,22537.6,DYDX,22.644,BUY,1.614,0.0161,-0.01,-0.1775
119,20-01-2023 22:31:33,22522.06,,23.86,,,0,0,-0.1775
120,20-01-2023 22:34:38,22608.89,,24.07,,,0,0,-0.1775
121,20-01-2023 22:37:46,22646.91,,24.677,,,0,0,-0.1775
122,20-01-2023 22:40:53,22640.37,DYDX,24.45,SELL,1.639,0.0164,1.5389,1.3615
123,20-01-2023 22:43:59,22608.51,MAGIC,24.198,BUY,0.9141,0.0091,-0.01,1.3515
124,20-01-2023 22:47:04,22688.36,,26.118,,,0,0,1.3515
125,20-01-2023 22:50:09,22617.66,,26.309,,,0,0,1.3515
126,20-01-2023 22:53:16,22628,MAGIC,24.127,SELL,0.9096,0.0091,-0.5023,0.8492
127,20-01-2023 22:56:24,22600,SKL,22.722,BUY,0.0335,0.0003,-0.01,0.8392
128,20-01-2023 22:59:31,22581.31,,22.914,,,0,0,0.8392
129,20-01-2023 23:02:38,22594.05,,23.269,,,0,0,0.8392
130,20-01-2023 23:05:42,22643.1,,24.331,,,0,0,0.8392
131,20-01-2023 23:08:50,22596.65,,26.136,,,0,0,0.8392
132,20-01-2023 23:11:56,22645.94,SKL,25.495,SELL,0.0342,0.0003,1.9876,2.8268
133,20-01-2023 23:15:04,22646.67,,0,,,0,0,2.8268
134,20-01-2023 23:18:10,22670.94,,0,,,0,0,2.8268
135,20-01-2023 23:21:17,22694.29,,0,,,0,0,2.8268
136,20-01-2023 23:24:23,22624.36,PNT,21.78,BUY,0.1834,0.0018,-0.01,2.8168
137,20-01-2023 23:27:28,22667.65,,22.908,,,0,0,2.8168
138,20-01-2023 23:30:35,22649.5,,23.108,,,0,0,2.8168
139,20-01-2023 23:33:43,22630.04,,27.955,,,0,0,2.8168
140,20-01-2023 23:36:50,22605.22,,28.619,,,0,0,2.8168
141,20-01-2023 23:39:58,22641.03,PNT,26.162,SELL,0.19,0.0019,3.5887,6.4055
142,20-01-2023 23:43:06,22654.04,,0,,,0,0,6.4055
143,20-01-2023 23:46:13,22650.16,HOOK,27.205,BUY,1.9891,0.0199,-0.01,6.3955
144,20-01-2023 23:49:18,22654.55,HOOK,26.674,SELL,1.9765,0.0198,-0.6435,5.752
145,20-01-2023 23:52:22,22677.98,,0,,,0,0,5.752
146,20-01-2023 23:55:31,22684.3,,0,,,0,0,5.752
147,20-01-2023 23:58:37,22690.84,,0,,,0,0,5.752
148,21-01-2023 00:01:45,22670.61,APT,40.39,BUY,10.9781,0.1098,-0.01,5.742
149,21-01-2023 00:04:52,22641.07,,44.221,,,0,0,5.742
150,21-01-2023 00:07:58,22729.77,,44.434,,,0,0,5.742
151,21-01-2023 00:11:03,22611.69,APT,39.796,SELL,10.8739,0.1087,-0.9592,4.7829
152,21-01-2023 00:14:09,22524.74,T,24.237,BUY,0.0269,0.0003,-0.01,4.7729
153,21-01-2023 00:17:16,22471.45,T,18.224,SELL,0.0254,0.0003,-5.3339,-0.561
154,21-01-2023 00:20:20,22553.52,,0,,,0,0,-0.561
155,21-01-2023 00:23:25,22543.49,RNDR,22.478,BUY,0.692,0.0069,-0.01,-0.571
156,21-01-2023 00:26:32,22558.5,,22.478,,,0,0,-0.571
157,21-01-2023 00:29:37,22594.11,,22.222,,,0,0,-0.571
158,21-01-2023 00:32:46,22618.29,RNDR,22.085,SELL,0.691,0.0069,-0.1545,-0.7255
159,21-01-2023 00:35:50,22637.62,,0,,,0,0,-0.7255
160,21-01-2023 00:38:57,22621.46,DYDX,27.5,BUY,1.683,0.0168,-0.01,-0.7355
161,21-01-2023 00:42:02,22611.74,DYDX,27.487,SELL,1.679,0.0168,-0.2477,-0.9832
162,21-01-2023 00:45:08,22626.63,,0,,,0,0,-0.9832
163,21-01-2023 00:48:15,22603.65,MAGIC,30.603,BUY,0.944,0.0094,-0.01,-0.9932
164,21-01-2023 00:51:21,22602.78,MAGIC,29.485,SELL,0.9354,0.0094,-0.921,-1.9142
165,21-01-2023 00:54:27,22612.67,,0,,,0,0,-1.9142
166,21-01-2023 00:57:32,22600.36,SKL,34.027,BUY,0.0367,0.0004,-0.01,-1.9242
167,21-01-2023 01:00:38,22607.98,,35.283,,,0,0,-1.9242
168,21-01-2023 01:03:43,22603.29,SKL,33.321,SELL,0.0364,0.0004,-0.8272,-2.7514
169,21-01-2023 01:06:48,22602.4,PNT,24.715,BUY,0.1862,0.0019,-0.01,-2.7614
170,21-01-2023 01:09:53,22574.29,PNT,24.08,SELL,0.1855,0.0019,-0.3859,-3.1474
171,21-01-2023 01:12:59,22594.18,,0,,,0,0,-3.1474
172,21-01-2023 01:16:07,22589.9,HOOK,35.835,BUY,2.1481,0.0215,-0.01,-3.1574
173,21-01-2023 01:19:12,22567.24,HOOK,33.281,SELL,2.1029,0.021,-2.1142,-5.2716
174,21-01-2023 01:22:17,22594.61,,0,,,0,0,-5.2716
175,21-01-2023 01:25:22,22599.7,,0,,,0,0,-5.2716
176,21-01-2023 01:28:29,22591.71,APT,37.809,BUY,11.188,0.1119,-0.01,-5.2816
177,21-01-2023 01:31:37,22582.49,,39.155,,,0,0,-5.2816
178,21-01-2023 01:34:43,22603.26,,37.757,,,0,0,-5.2816
179,21-01-2023 01:37:49,22601.02,,38.421,,,0,0,-5.2816
180,21-01-2023 01:40:56,22607.2,,39.602,,,0,0,-5.2816
181,21-01-2023 01:44:02,22594.65,APT,38.369,SELL,11.2238,0.1122,0.31,-4.9716
182,21-01-2023 01:47:07,22582,HBAR,21.369,BUY,0.0727,0.0007,-0.01,-4.9816
183,21-01-2023 01:50:12,22566.11,HBAR,21.608,SELL,0.0726,0.0007,-0.1476,-5.1291
184,21-01-2023 01:53:18,22581.57,,0,,,0,0,-5.1291
185,21-01-2023 01:56:24,22579.18,RNDR,26.362,BUY,0.719,0.0072,-0.01,-5.1391
186,21-01-2023 01:59:31,22565.31,RNDR,25.352,SELL,0.712,0.0071,-0.9836,-6.1227
187,21-01-2023 02:02:38,22593.12,,0,,,0,0,-6.1227
188,21-01-2023 02:05:42,22599.5,,0,,,0,0,-6.1227
189,21-01-2023 02:08:49,22613.79,,0,,,0,0,-6.1227
190,21-01-2023 02:11:56,22611.1,DYDX,28.057,BUY,1.707,0.0171,-0.01,-6.1327
191,21-01-2023 02:15:02,22606.35,,28.722,,,0,0,-6.1327
192,21-01-2023 02:18:07,22612.4,DYDX,28.453,SELL,1.711,0.0171,0.2243,-5.9084
193,21-01-2023 02:21:14,22618.7,,0,,,0,0,-5.9084
194,21-01-2023 02:24:22,22614.21,MAGIC,29.348,BUY,0.952,0.0095,-0.01,-5.9184
195,21-01-2023 02:27:28,22616.52,,29.671,,,0,0,-5.9184
196,21-01-2023 02:30:36,22617.09,,29.704,,,0,0,-5.9184
197,21-01-2023 02:33:44,22607.28,,29.963,,,0,0,-5.9184
198,21-01-2023 02:36:52,22603.33,,30.514,,,0,0,-5.9184
199,21-01-2023 02:39:57,22586.16,,33.506,,,0,0,-5.9184
200,21-01-2023 02:43:05,22575.13,,34.562,,,0,0,-5.9184
201,21-01-2023 02:46:11,22585.14,MAGIC,32.921,SELL,0.9771,0.0098,2.6266,-3.2918
202,21-01-2023 02:49:21,22537.28,SKL,34.204,BUY,0.037,0.0004,-0.01,-3.3018
203,21-01-2023 02:52:26,22556.99,,34.24,,,0,0,-3.3018
204,21-01-2023 02:55:32,22551.12,,35.138,,,0,0,-3.3018
205,21-01-2023 02:58:38,22543.95,SKL,33.189,SELL,0.0368,0.0004,-0.5505,-3.8524
206,21-01-2023 03:01:44,22553.31,,0,,,0,0,-3.8524
207,21-01-2023 03:04:52,22537.04,NKN,21.633,BUY,0.1147,0.0011,-0.01,-3.8624
208,21-01-2023 03:07:57,22563.31,NKN,21.186,SELL,0.1144,0.0011,-0.2716,-4.1339
209,21-01-2023 03:11:03,22528.55,HOOK,42.141,BUY,2.2744,0.0227,-0.01,-4.1439
210,21-01-2023 03:14:11,22513.25,HOOK,40.352,SELL,2.2469,0.0225,-1.2191,-5.363
211,21-01-2023 03:17:16,22554.95,,0,,,0,0,-5.363
212,21-01-2023 03:20:21,22537.68,APT,40.301,BUY,11.2126,0.1121,-0.01,-5.373
213,21-01-2023 03:23:25,22551.92,,40.143,,,0,0,-5.373
214,21-01-2023 03:26:31,22554.96,,39.879,,,0,0,-5.373
215,21-01-2023 03:29:38,22557.41,APT,39.517,SELL,11.207,0.1121,-0.0599,-5.433
216,21-01-2023 03:32:49,22549.65,PNT,21.98,BUY,0.1848,0.0018,-0.01,-5.443
217,21-01-2023 03:35:57,22547.84,,22.23,,,0,0,-5.443
218,21-01-2023 03:39:02,22540.4,,22.413,,,0,0,-5.443
219,21-01-2023 03:42:07,22560.75,,22.808,,,0,0,-5.443
220,21-01-2023 03:45:15,22565.21,,23.731,,,0,0,-5.443
221,21-01-2023 03:48:20,22548.95,,23.797,,,0,0,-5.443
222,21-01-2023 03:51:26,22549.54,,23.863,,,0,0,-5.443
223,21-01-2023 03:54:32,22542.18,,25.247,,,0,0,-5.443
224,21-01-2023 03:57:38,22549.18,PNT,23.929,SELL,0.188,0.0019,1.7216,-3.7214
225,21-01-2023 04:00:43,22552.34,,0,,,0,0,-3.7214
226,21-01-2023 04:03:51,22525.7,MULTI,21.096,BUY,8.84,0.0884,-0.01,-3.7314
227,21-01-2023 04:06:57,22546.69,,21.233,,,0,0,-3.7314
228,21-01-2023 04:10:05,22554.75,,21.233,,,0,0,-3.7314
229,21-01-2023 04:13:12,22560.14,MULTI,21.096,SELL,8.84,0.0884,-0.01,-3.7414
230,21-01-2023 04:16:19,22564.44,,0,,,0,0,-3.7414
231,21-01-2023 04:19:28,22578.99,,0,,,0,0,-3.7414
