Count,Date,BTC / USDT price,Token name,24h price change %,Trade,Trade price,Comission,Profit %,Profit total %
1,19-01-2023 21:27:29,21034.03,RVN,14.969,BUY,0.026,0.0003,-0.01,-0.01
2,19-01-2023 21:32:35,21032.47,RVN,14.311,SELL,0.0259,0.0003,-0.3182,-0.3282
3,19-01-2023 21:37:39,21032.93,,0,,,0,0,-0.3282
4,19-01-2023 21:42:47,21013.68,ENJ,12.437,BUY,0.4222,0.0042,-0.01,-0.3382
5,19-01-2023 21:47:51,20991.22,ENJ,11.852,SELL,0.4209,0.0042,-0.3179,-0.6561
6,19-01-2023 21:52:58,20957.17,VOXEL,11.623,BUY,0.2132,0.0021,-0.01,-0.6661
7,19-01-2023 21:58:05,20937.7,,12.356,,,0,0,-0.6661
8,19-01-2023 22:03:12,20969.86,VOXEL,11.024,SELL,0.2115,0.0021,-0.8074,-1.4735
9,19-01-2023 22:08:16,20989.15,,0,,,0,0,-1.4735
10,19-01-2023 22:13:23,20997.18,,0,,,0,0,-1.4735
11,19-01-2023 22:18:28,20996.33,FXS,14.15,BUY,9.955,0.0995,-0.01,-1.4835
12,19-01-2023 22:23:35,21000.43,FXS,13.782,SELL,9.948,0.0995,-0.0803,-1.5638
13,19-01-2023 22:28:40,20991.68,FLUX,12.608,BUY,0.652,0.0065,-0.01,-1.5738
14,19-01-2023 22:33:44,21012.46,FLUX,12.069,SELL,0.65,0.0065,-0.3167,-1.8905
15,19-01-2023 22:38:50,21009.42,RAY,10.703,BUY,0.2348,0.0023,-0.01,-1.9005
16,19-01-2023 22:43:54,21034.88,RAY,10.212,SELL,0.2342,0.0023,-0.2655,-2.1661
17,19-01-2023 22:49:00,21030.76,RVN,14.45,BUY,0.0258,0.0003,-0.01,-2.1761
18,19-01-2023 22:54:07,21041.44,,14.463,,,0,0,-2.1761
19,19-01-2023 22:59:13,21074.03,,14.57,,,0,0,-2.1761
20,19-01-2023 23:04:18,21068.01,,15.139,,,0,0,-2.1761
21,19-01-2023 23:09:22,21038.2,RVN,14.658,SELL,0.026,0.0003,0.5709,-1.6051
22,19-01-2023 23:14:28,21018.76,ENJ,11.934,BUY,0.4155,0.0042,-0.01,-1.6151
23,19-01-2023 23:19:34,21033.75,,12.446,,,0,0,-1.6151
24,19-01-2023 23:24:38,21036.56,ENJ,11.97,SELL,0.4144,0.0041,-0.2747,-1.8898
25,19-01-2023 23:29:42,21063.92,,0,,,0,0,-1.8898
26,19-01-2023 23:34:46,21088.05,,0,,,0,0,-1.8898
27,19-01-2023 23:39:54,21061.98,HBAR,14.391,BUY,0.062,0.0006,-0.01,-1.8998
28,19-01-2023 23:44:59,21069.69,,14.576,,,0,0,-1.8998
29,19-01-2023 23:50:04,21060.04,HBAR,13.653,SELL,0.0616,0.0006,-0.6552,-2.555
30,19-01-2023 23:55:10,21081.84,,0,,,0,0,-2.555
31,20-01-2023 00:00:15,21077.88,FXS,16.971,BUY,10.063,0.1006,-0.01,-2.565
32,20-01-2023 00:05:20,21089.04,,17.999,,,0,0,-2.565
33,20-01-2023 00:10:23,21054.58,FXS,16.935,SELL,10.095,0.101,0.308,-2.257
34,20-01-2023 00:15:31,21053.51,WAXP,18.007,BUY,0.0675,0.0007,-0.01,-2.267
35,20-01-2023 00:20:36,21057.68,,21.913,,,0,0,-2.267
36,20-01-2023 00:25:41,21082.91,WAXP,22.164,SELL,0.07,0.0007,3.6937,1.4267
37,20-01-2023 00:30:46,21117.58,,0,,,0,0,1.4267
38,20-01-2023 00:35:53,21081.11,KNC,13.128,BUY,0.81,0.0081,-0.01,1.4167
39,20-01-2023 00:41:00,21081.16,KNC,11.342,SELL,0.805,0.008,-0.6273,0.7894
40,20-01-2023 00:46:05,21060.36,RVN,13.188,BUY,0.0255,0.0003,-0.01,0.7794
41,20-01-2023 00:51:16,21043.17,RVN,13.369,SELL,0.0254,0.0003,-0.2062,0.5733
42,20-01-2023 00:56:20,21049.19,,0,,,0,0,0.5733
43,20-01-2023 01:01:25,21044.14,ENJ,15.267,BUY,0.413,0.0041,-0.01,0.5633
44,20-01-2023 01:06:30,21022.18,,14.869,,,0,0,0.5633
